Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
237063,USB-C Charging Cable,1,11.95,04/06/19 18:13,"751 Cherry St, New York City, NY 10001"
237064,AA Batteries (4-pack),1,3.84,04/26/19 10:11,"938 Meadow St, New York City, NY 10001"
237065,Wired Headphones,1,11.99,04/29/19 16:13,"238 13th St, New York City, NY 10001"
237066,iPhone,1,700.0,04/29/19 10:40,"653 Ridge St, Portland, OR 97035"
237067,Lightning Charging Cable,1,14.95,04/12/19 11:57,"291 Spruce St, Dallas, TX 75001"
237068,Bose SoundSport Headphones,1,99.99,04/06/19 17:02,"954 Church St, Boston, MA 02215"
237069,Lightning Charging Cable,1,14.95,04/14/19 15:36,"430 Cedar St, New York City, NY 10001"
237070,Wired Headphones,1,11.99,04/17/19 22:15,"154 Chestnut St, Seattle, WA 98101"
237071,Bose SoundSport Headphones,1,99.99,04/14/19 14:21,"912 7th St, Dallas, TX 75001"
237072,USB-C Charging Cable,2,11.95,04/26/19 09:57,"163 South St, San Francisco, CA 94016"
237073,Normal Keyboard,1,99.99,04/02/19 13:14,"913 Johnson St, Seattle, WA 98101"
237074,Mechanical Keyboard,1,250.0,04/06/19 00:51,"79 Hill St, New York City, NY 10001"
237075,20in Monitor,1,109.99,04/04/19 11:26,"404 Center St, San Francisco, CA 94016"
237076,Lightning Charging Cable,1,14.95,04/19/19 11:00,"866 North St, Dallas, TX 75001"
237077,Dell Laptop,1,999.99,04/17/19 14:32,"612 Willow St, New York City, NY 10001"
237078,Lightning Charging Cable,1,14.95,04/17/19 19:55,"912 North St, Austin, TX 73301"
237079,27in FHD Monitor,1,149.99,04/22/19 01:11,"850 11th St, Los Angeles, CA 90001"
237079,Samsung Phone,1,650.0,04/22/19 01:11,"850 11th St, Los Angeles, CA 90001"
237080,Normal Keyboard,1,99.99,04/17/19 12:54,"221 Center St, San Francisco, CA 94016"
237081,AAA Batteries (4-pack),4,2.99,04/15/19 16:57,"248 Dogwood St, San Francisco, CA 94016"
237082,Lightning Charging Cable,2,14.95,04/05/19 06:56,"922 Chestnut St, San Francisco, CA 94016"
237083,Lightning Charging Cable,1,14.95,04/19/19 19:11,"499 Cherry St, New York City, NY 10001"
237083,Normal Keyboard,1,99.99,04/19/19 19:11,"499 Cherry St, New York City, NY 10001"
237084,AAA Batteries (4-pack),3,2.99,04/09/19 02:37,"382 Walnut St, Boston, MA 02215"
237085,Wired Headphones,1,11.99,04/10/19 09:58,"886 Adams St, San Francisco, CA 94016"
237086,Bose SoundSport Headphones,1,99.99,04/02/19 15:11,"127 14th St, Los Angeles, CA 90001"
237087,Flatscreen TV,1,300.0,04/10/19 20:28,"338 9th St, Los Angeles, CA 90001"
237088,USB-C Charging Cable,1,11.95,04/28/19 20:03,"912 Park St, Dallas, TX 75001"
237088,Bose SoundSport Headphones,1,99.99,04/28/19 20:03,"912 Park St, Dallas, TX 75001"
237089,USB-C Charging Cable,1,11.95,04/17/19 17:54,"642 7th St, Portland, OR 97035"
237090,USB-C Charging Cable,1,11.95,04/15/19 21:59,"632 Chestnut St, San Francisco, CA 94016"
237091,Wired Headphones,1,11.99,04/30/19 11:55,"210 11th St, Atlanta, GA 30301"
237092,27in FHD Monitor,1,149.99,04/10/19 07:18,"489 Ridge St, Seattle, WA 98101"
237093,Lightning Charging Cable,1,14.95,04/11/19 08:37,"194 Lake St, New York City, NY 10001"
237094,Wired Headphones,1,11.99,04/24/19 18:44,"505 Church St, New York City, NY 10001"
237095,AA Batteries (4-pack),1,3.84,04/07/19 10:30,"884 Cedar St, Los Angeles, CA 90001"
237096,Normal Keyboard,1,99.99,04/27/19 15:32,"964 River St, Los Angeles, CA 90001"
237097,Apple Airpods Headphones,1,150.0,04/11/19 13:54,"80 14th St, Portland, OR 97035"
237098,AA Batteries (4-pack),1,3.84,04/15/19 20:17,"934 Wilson St, Dallas, TX 75001"
237099,Wired Headphones,1,11.99,04/04/19 21:51,"553 Chestnut St, Boston, MA 02215"
237100,Mechanical Keyboard,1,250.0,04/11/19 19:51,"471 Adams St, Seattle, WA 98101"
237101,AAA Batteries (4-pack),1,2.99,04/06/19 18:55,"132 Elm St, Boston, MA 02215"
237102,Macbook Pro,1,1699.0,04/06/19 19:10,"626 6th St, Dallas, TX 75001"
237103,Google Phone,1,600.0,04/15/19 09:54,"434 2nd St, Dallas, TX 75001"
237104,Apple Airpods Headphones,1,150.0,04/03/19 07:58,"518 Pine St, Atlanta, GA 30301"
237105,Bose SoundSport Headphones,1,99.99,04/23/19 14:39,"380 Johnson St, Atlanta, GA 30301"
237105,Bose SoundSport Headphones,1,99.99,04/23/19 14:39,"380 Johnson St, Atlanta, GA 30301"
237106,iPhone,1,700.0,04/29/19 14:42,"183 Lake St, Dallas, TX 75001"
237107,Gaming Mouse,1,100.0,04/21/19 11:39,"710 5th St, Boston, MA 02215"
237108,Gaming Mouse,1,100.0,04/07/19 13:20,"568 Cedar St, Seattle, WA 98101"
237109,Wired Headphones,1,11.99,04/15/19 23:43,"420 Ridge St, Boston, MA 02215"
237110,Apple Airpods Headphones,1,150.0,04/23/19 22:39,"46 Forest St, Los Angeles, CA 90001"
237111,Apple Airpods Headphones,1,150.0,04/12/19 06:15,"190 Ridge St, San Francisco, CA 94016"
237112,27in 4K Gaming Monitor,1,389.99,04/19/19 19:11,"805 Johnson St, Boston, MA 02215"
237113,Cooling Pad,1,29.99,04/27/19 19:12,"173 Hill St, San Francisco, CA 94016"
237114,Cooling Pad,1,29.99,04/22/19 16:26,"600 Lincoln St, New York City, NY 10001"
237115,Bose SoundSport Headphones,1,99.99,04/12/19 18:07,"505 14th St, San Francisco, CA 94016"
237116,Wired Headphones,1,11.99,04/27/19 13:34,"258 South St, San Francisco, CA 94016"
237117,Lightning Charging Cable,1,14.95,04/15/19 18:32,"972 Main St, San Francisco, CA 94016"
237118,Lightning Charging Cable,1,14.95,04/29/19 21:17,"94 11th St, Austin, TX 73301"
237119,Wired Headphones,1,11.99,04/21/19 10:09,"225 Johnson St, San Francisco, CA 94016"
237120,USB-C Charging Cable,1,11.95,04/10/19 14:21,"906 Lake St, San Francisco, CA 94016"
237121,Bose SoundSport Headphones,1,99.99,04/23/19 11:03,"688 11th St, San Francisco, CA 94016"
237122,Apple Airpods Headphones,1,150.0,04/19/19 20:54,"260 7th St, New York City, NY 10001"
237123,Normal Keyboard,1,99.99,04/06/19 18:13,"820 Sunset St, Seattle, WA 98101"
237124,34in Ultrawide Monitor,1,379.99,04/09/19 12:44,"100 West St, San Francisco, CA 94016"
237125,Wired Headphones,2,11.99,04/18/19 12:48,"326 10th St, Boston, MA 02215"
237126,AA Batteries (4-pack),3,3.84,04/06/19 10:42,"144 North St, New York City, NY 10001"
237127,USB-C Charging Cable,1,11.95,04/15/19 10:35,"460 Ridge St, Los Angeles, CA 90001"
237128,Lightning Charging Cable,1,14.95,04/05/19 20:43,"775 8th St, San Francisco, CA 94016"
237129,Google Phone,1,600.0,04/30/19 07:46,"912 Chestnut St, Dallas, TX 75001"
237130,USB-C Charging Cable,1,11.95,04/28/19 19:16,"481 North St, Los Angeles, CA 90001"
237131,USB-C Charging Cable,1,11.95,04/16/19 16:50,"514 9th St, Portland, OR 97035"
237132,Normal Keyboard,1,99.99,04/16/19 23:06,"673 River St, San Francisco, CA 94016"
237133,USB-C Charging Cable,1,11.95,04/09/19 20:57,"205 Main St, Seattle, WA 98101"
237134,Lightning Charging Cable,1,14.95,04/11/19 14:11,"564 11th St, New York City, NY 10001"
