Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
297947,Flatscreen TV,1,300,08/18/19 12:10,"72 Maple St, New York City, NY 10001"
297948,Wired Headphones,1,11.99,08/26/19 13:02,"48 Sunset St, New York City, NY 10001"
297949,Bose SoundSport Headphones,1,99.99,08/13/19 14:11,"857 Forest St, New York City, NY 10001"
297950,Lightning Charging Cable,1,14.95,08/08/19 12:43,"228 11th St, New York City, NY 10001"
297951,Mechanical Keyboard,1,250,08/05/19 09:24,"73 Sunset St, Los Angeles, CA 90001"
297952,27in 4K Gaming Monitor,1,389.99,08/26/19 12:25,"725 Chestnut St, Boston, MA 02215"
297953,LG Dryer,1,600.0,08/03/19 10:18,"30 West St, Seattle, WA 98101"
297954,AA Batteries (4-pack),1,3.84,08/30/19 12:15,"133 2nd St, Portland, OR 97035"
297955,27in 4K Gaming Monitor,1,389.99,08/29/19 12:28,"522 Madison St, Los Angeles, CA 90001"
297956,USB-C Charging Cable,1,11.95,08/19/19 12:59,"914 Sunset St, Portland, OR 97035"
297957,iPhone,1,700,08/01/19 23:42,"557 14th St, San Francisco, CA 94016"
297958,Apple Airpods Headphones,1,150,08/09/19 12:02,"385 Hickory St, New York City, NY 10001"
297959,USB-C Charging Cable,1,11.95,08/30/19 18:32,"434 Walnut St, San Francisco, CA 94016"
297960,USB-C Charging Cable,1,11.95,08/30/19 14:31,"300 Johnson St, New York City, NY 10001"
297961,27in FHD Monitor,1,149.99,08/03/19 12:39,"642 7th St, San Francisco, CA 94016"
297962,Macbook Air,1,1200,08/16/19 18:22,"500 Lake St, Seattle, WA 98101"
297963,Cooling Pad,1,29.99,08/30/19 16:41,"640 Washington St, Portland, ME 04101"
297964,Apple Airpods Headphones,1,150,08/27/19 19:18,"492 8th St, New York City, NY 10001"
297965,Bose SoundSport Headphones,1,99.99,08/04/19 07:00,"852 Main St, Boston, MA 02215"
297966,Apple Airpods Headphones,1,150,08/26/19 19:34,"397 North St, San Francisco, CA 94016"
297967,AAA Batteries (4-pack),1,2.99,08/23/19 17:45,"447 Highland St, Austin, TX 73301"
297968,27in FHD Monitor,1,149.99,08/05/19 02:45,"485 Maple St, Portland, ME 04101"
297969,Lightning Charging Cable,1,14.95,08/05/19 11:51,"36 Wilson St, Atlanta, GA 30301"
297969,Apple Airpods Headphones,1,150,08/05/19 11:51,"36 Wilson St, Atlanta, GA 30301"
297970,Samsung Phone,1,650,08/21/19 22:22,"405 4th St, New York City, NY 10001"
297970,Bose SoundSport Headphones,1,99.99,08/21/19 22:22,"405 4th St, New York City, NY 10001"
297971,20in Monitor,1,109.99,08/23/19 14:33,"815 8th St, Los Angeles, CA 90001"
297972,Google Phone,1,600,08/22/19 10:14,"280 Johnson St, Atlanta, GA 30301"
297973,Wired Headphones,1,11.99,08/07/19 18:41,"539 Highland St, Boston, MA 02215"
297974,34in Ultrawide Monitor,1,379.99,08/29/19 11:27,"396 Lakeview St, New York City, NY 10001"
297974,Wired Headphones,2,11.99,08/29/19 11:27,"396 Lakeview St, New York City, NY 10001"
297975,AA Batteries (4-pack),3,3.84,08/29/19 06:28,"802 River St, Boston, MA 02215"
297976,AAA Batteries (4-pack),2,2.99,08/19/19 16:47,"250 River St, Los Angeles, CA 90001"
297977,Apple Airpods Headphones,1,150,08/31/19 11:30,"803 Sunset St, Boston, MA 02215"
297978,Bose SoundSport Headphones,1,99.99,08/02/19 18:02,"76 Hill St, San Francisco, CA 94016"
297978,Dell Laptop,1,999.99,08/02/19 18:02,"76 Hill St, San Francisco, CA 94016"
297979,34in Ultrawide Monitor,1,379.99,08/28/19 02:51,"928 Ridge St, New York City, NY 10001"
297980,iPhone,1,700,08/04/19 01:36,"603 Jackson St, Seattle, WA 98101"
297981,Flatscreen TV,1,300,08/12/19 19:22,"766 Sunset St, Seattle, WA 98101"
297982,27in FHD Monitor,1,149.99,08/25/19 18:39,"137 North St, San Francisco, CA 94016"
297983,USB-C Charging Cable,1,11.95,08/02/19 17:56,"638 5th St, New York City, NY 10001"
297984,AAA Batteries (4-pack),1,2.99,08/17/19 14:30,"866 Jefferson St, Los Angeles, CA 90001"
297985,Wired Headphones,1,11.99,08/17/19 21:30,"680 Highland St, Boston, MA 02215"
297986,Lightning Charging Cable,2,14.95,08/14/19 20:22,"876 Wilson St, Dallas, TX 75001"
297987,AAA Batteries (4-pack),1,2.99,08/22/19 22:47,"711 Cedar St, Seattle, WA 98101"
297988,USB-C Charging Cable,1,11.95,08/26/19 22:33,"348 Sunset St, New York City, NY 10001"
297989,AA Batteries (4-pack),2,3.84,08/28/19 09:33,"976 6th St, San Francisco, CA 94016"
297990,USB-C Charging Cable,1,11.95,08/13/19 16:48,"984 Sunset St, Portland, OR 97035"
297991,Normal Keyboard,1,99.99,08/20/19 12:41,"261 Chestnut St, San Francisco, CA 94016"
297992,27in FHD Monitor,1,149.99,08/05/19 14:29,"690 Center St, Portland, OR 97035"
297993,AAA Batteries (4-pack),1,2.99,08/16/19 19:30,"741 Pine St, Austin, TX 73301"
297994,Apple Airpods Headphones,1,150,08/11/19 06:27,"666 14th St, Los Angeles, CA 90001"
297995,Lightning Charging Cable,1,14.95,08/29/19 18:15,"535 Meadow St, Portland, ME 04101"
297996,AA Batteries (4-pack),1,3.84,08/01/19 08:40,"95 Ridge St, Portland, OR 97035"
297997,USB-C Charging Cable,1,11.95,08/26/19 11:02,"685 10th St, San Francisco, CA 94016"
297998,iPhone,1,700,08/15/19 07:30,"567 Lincoln St, Los Angeles, CA 90001"
297998,Lightning Charging Cable,2,14.95,08/15/19 07:30,"567 Lincoln St, Los Angeles, CA 90001"
297998,Wired Headphones,1,11.99,08/15/19 07:30,"567 Lincoln St, Los Angeles, CA 90001"
297999,Macbook Air,1,1200,08/13/19 11:46,"391 Dogwood St, Boston, MA 02215"
298000,Gaming Mouse,1,100,08/25/19 16:51,"298 Madison St, Seattle, WA 98101"
298001,AAA Batteries (4-pack),1,2.99,08/17/19 12:24,"673 Johnson St, Portland, OR 97035"
298002,Bose SoundSport Headphones,1,99.99,08/14/19 17:42,"893 Center St, Atlanta, GA 30301"
298003,Wired Headphones,1,11.99,08/09/19 07:34,"362 10th St, San Francisco, CA 94016"
298004,AA Batteries (4-pack),1,3.84,08/09/19 17:35,"508 Maple St, New York City, NY 10001"
298005,Apple Airpods Headphones,1,150,08/30/19 23:11,"353 14th St, New York City, NY 10001"
298006,Bose SoundSport Headphones,1,99.99,08/22/19 13:43,"276 7th St, Atlanta, GA 30301"
298007,USB-C Charging Cable,1,11.95,08/12/19 19:31,"718 6th St, New York City, NY 10001"
298008,AAA Batteries (4-pack),2,2.99,08/27/19 09:23,"542 4th St, San Francisco, CA 94016"
298009,Samsung Phone,1,650,08/24/19 14:22,"812 14th St, Seattle, WA 98101"
298010,USB-C Charging Cable,3,11.95,08/18/19 23:24,"572 Lake St, San Francisco, CA 94016"
298011,27in FHD Monitor,1,149.99,08/08/19 17:42,"635 Willow St, Atlanta, GA 30301"
298012,AAA Batteries (4-pack),1,2.99,08/01/19 13:05,"499 Sunset St, Boston, MA 02215"
298013,Bose SoundSport Headphones,1,99.99,08/31/19 14:39,"976 Madison St, Los Angeles, CA 90001"
298014,27in FHD Monitor,1,149.99,08/11/19 11:34,"452 Lincoln St, New York City, NY 10001"
298015,Apple Airpods Headphones,1,150,08/26/19 19:39,"218 Lake St, Los Angeles, CA 90001"
298016,Apple Airpods Headphones,1,150,08/29/19 11:37,"624 1st St, Seattle, WA 98101"
298017,Apple Airpods Headphones,1,150,08/16/19 22:40,"709 Spruce St, Portland, OR 97035"
298018,Macbook Air,1,1200,08/12/19 13:25,"281 Maple St, San Francisco, CA 94016"
298019,Lightning Charging Cable,1,14.95,08/30/19 20:00,"240 Johnson St, Boston, MA 02215"
298020,Lightning Charging Cable,1,14.95,08/03/19 12:32,"622 North St, Austin, TX 73301"
298021,USB-C Charging Cable,1,11.95,08/27/19 18:48,"169 Highland St, San Francisco, CA 94016"
298022,Dell Laptop,1,999.99,08/20/19 22:11,"778 Forest St, Boston, MA 02215"
298023,Lightning Charging Cable,1,14.95,08/20/19 14:23,"381 1st St, Los Angeles, CA 90001"
