Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
351585,Wired Headphones,1,11.99,12/22/19 17:57,"492 Jefferson St, Boston, MA 02215"
351586,Bose SoundSport Headphones,1,99.99,12/11/19 19:53,"722 Johnson St, Boston, MA 02215"
351587,USB-C Charging Cable,1,11.95,12/26/19 15:44,"183 Jefferson St, Dallas, TX 75001"
351588,Flatscreen TV,1,300.0,12/24/19 13:22,"336 Chestnut St, San Francisco, CA 94016"
351589,USB-C Charging Cable,1,11.95,12/12/19 14:07,"358 Washington St, New York City, NY 10001"
351590,Apple Airpods Headphones,1,150.0,12/28/19 06:56,"189 Lake St, New York City, NY 10001"
351591,Apple Airpods Headphones,1,150.0,12/28/19 21:56,"961 Center St, San Francisco, CA 94016"
351592,Cooling Pad,1,29.99,12/14/19 20:15,"755 Spruce St, Dallas, TX 75001"
351593,Gaming Mouse,1,100.0,12/31/19 22:11,"545 10th St, San Francisco, CA 94016"
351594,AAA Batteries (4-pack),1,2.99,12/17/19 21:37,"400 7th St, San Francisco, CA 94016"
351595,Apple Airpods Headphones,1,150.0,12/11/19 20:30,"84 Dogwood St, Los Angeles, CA 90001"
351596,Lightning Charging Cable,1,14.95,12/03/19 02:45,"973 North St, Dallas, TX 75001"
351597,Macbook Pro,1,1699.0,12/07/19 18:09,"122 Hill St, Boston, MA 02215"
351598,Apple Airpods Headphones,1,150.0,12/29/19 20:25,"810 Adams St, Atlanta, GA 30301"
351599,AAA Batteries (4-pack),2,2.99,12/22/19 20:07,"356 6th St, Los Angeles, CA 90001"
351600,Lightning Charging Cable,1,14.95,12/28/19 20:38,"73 7th St, Dallas, TX 75001"
351601,Cooling Pad,1,29.99,12/05/19 17:57,"84 Cedar St, Atlanta, GA 30301"
351602,AAA Batteries (4-pack),2,2.99,12/19/19 18:46,"520 Jackson St, Dallas, TX 75001"
351603,27in FHD Monitor,1,149.99,12/15/19 19:56,"375 Maple St, New York City, NY 10001"
351604,Mechanical Keyboard,1,250.0,12/05/19 18:37,"842 Maple St, Los Angeles, CA 90001"
351605,AA Batteries (4-pack),2,3.84,12/12/19 08:37,"683 6th St, San Francisco, CA 94016"
351606,Flatscreen TV,1,300.0,12/19/19 05:43,"729 5th St, New York City, NY 10001"
351607,20in Monitor,1,109.99,12/27/19 07:16,"412 12th St, Atlanta, GA 30301"
351608,Wired Headphones,1,11.99,12/20/19 16:59,"292 6th St, Boston, MA 02215"
351609,Apple Airpods Headphones,1,150.0,12/01/19 09:07,"136 Chestnut St, Atlanta, GA 30301"
351610,AAA Batteries (4-pack),1,2.99,12/07/19 11:31,"50 Walnut St, Los Angeles, CA 90001"
351611,Macbook Pro,1,1699.0,12/15/19 21:16,"648 River St, San Francisco, CA 94016"
351612,USB-C Charging Cable,1,11.95,12/01/19 11:25,"70 Forest St, Boston, MA 02215"
351613,Lightning Charging Cable,1,14.95,12/29/19 14:17,"143 6th St, Austin, TX 73301"
351614,AA Batteries (4-pack),1,3.84,12/01/19 18:21,"796 12th St, Dallas, TX 75001"
351615,AA Batteries (4-pack),1,3.84,12/29/19 09:07,"347 11th St, San Francisco, CA 94016"
351616,27in 4K Gaming Monitor,1,389.99,12/15/19 18:12,"715 Lincoln St, New York City, NY 10001"
351617,Wired Headphones,1,11.99,12/26/19 18:37,"313 Hickory St, Seattle, WA 98101"
351618,AA Batteries (4-pack),2,3.84,12/23/19 23:04,"306 Hickory St, San Francisco, CA 94016"
351619,Mechanical Keyboard,1,250.0,12/20/19 00:15,"630 5th St, New York City, NY 10001"
351620,Lightning Charging Cable,1,14.95,12/12/19 07:11,"360 Cherry St, Seattle, WA 98101"
351621,Bose SoundSport Headphones,1,99.99,12/03/19 21:45,"41 Ridge St, San Francisco, CA 94016"
351622,Wired Headphones,1,11.99,12/30/19 22:49,"782 Hill St, New York City, NY 10001"
351623,Lenovo Laptop,1,899.99,12/12/19 18:24,"543 Washington St, Dallas, TX 75001"
