Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
202752,20in Monitor,1,109.99,02/21/19 12:30,"793 North St, Seattle, WA 98101"
202753,Lightning Charging Cable,1,14.95,02/06/19 06:54,"540 Park St, Los Angeles, CA 90001"
Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
202754,Bose SoundSport Headphones,1,99.99,02/01/19 20:13,"303 Dogwood St, Atlanta, GA 30301"
202755,Apple Airpods Headphones,1,150,02/17/19 11:51,"808 Maple St, Austin, TX 73301"
202756,Normal Keyboard,1,99.99,02/01/19 08:07,"864 Park St, Austin, TX 73301"
202757,Dell Laptop,1,999.99,02/13/19 18:28,"765 Adams St, San Francisco, CA 94016"
202758,Bose SoundSport Headphones,1,99.99,02/03/19 09:45,"244 Chestnut St, New York City, NY 10001"
202759,USB-C Charging Cable,1,11.95,02/21/19 20:22,"357 4th St, San Francisco, CA 94016"
202760,Apple Airpods Headphones,1,150,02/17/19 14:45,"869 5th St, San Francisco, CA 94016"
202761,AAA Batteries (4-pack),2,2.99,02/22/19 21:19,"789 South St, San Francisco, CA 94016"
202762,iPhone,1,700,02/08/19 11:44,"191 Elm St, San Francisco, CA 94016"
202762,Lightning Charging Cable,1,14.95,02/08/19 11:44,"191 Elm St, San Francisco, CA 94016"
202763,Gaming Mouse,1,100,02/27/19 11:33,"377 Wilson St, Atlanta, GA 30301"
202764,AA Batteries (4-pack),1,3.84,02/03/19 09:15,"444 Jefferson St, Los Angeles, CA 90001"
202765,Wired Headphones,1,11.99,02/24/19 14:10,"550 2nd St, Seattle, WA 98101"
202766,Lenovo Laptop,1,899.99,02/08/19 16:58,"192 Center St, San Francisco, CA 94016"
202767,Bose SoundSport Headphones,1,99.99,02/01/19 12:03,"970 Pine St, San Francisco, CA 94016"
202768,USB-C Charging Cable,1,11.95,02/25/19 19:35,"235 11th St, New York City, NY 10001"
202769,Apple Airpods Headphones,1,150,02/18/19 08:52,"492 Lakeview St, Portland, OR 97035"
