Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
284187,USB-C Charging Cable,1,11.95,07/22/19 14:16,"840 Wilson St, Dallas, TX 75001"
284188,Google Phone,1,600.0,07/02/19 18:50,"720 Forest St, Los Angeles, CA 90001"
284189,Macbook Air,1,1200.0,07/04/19 10:39,"960 Hill St, Los Angeles, CA 90001"
284190,iPhone,1,700.0,07/04/19 08:54,"137 River St, San Francisco, CA 94016"
284191,Samsung Phone,1,650.0,07/19/19 18:55,"448 7th St, Boston, MA 02215"
284191,USB-C Charging Cable,1,11.95,07/19/19 18:55,"448 7th St, Boston, MA 02215"
284192,Cooling Pad,1,29.99,07/23/19 21:18,"533 14th St, Boston, MA 02215"
284193,USB-C Charging Cable,1,11.95,07/30/19 22:33,"674 Hickory St, Portland, ME 04101"
284194,Cooling Pad,1,29.99,07/31/19 16:40,"7 4th St, Los Angeles, CA 90001"
284195,AA Batteries (4-pack),1,3.84,07/25/19 16:43,"579 Lakeview St, Los Angeles, CA 90001"
284196,AAA Batteries (4-pack),1,2.99,07/25/19 09:18,"862 South St, San Francisco, CA 94016"
284197,AA Batteries (4-pack),2,3.84,07/23/19 23:06,"241 Washington St, San Francisco, CA 94016"
284198,Lightning Charging Cable,1,14.95,07/13/19 11:48,"732 Johnson St, San Francisco, CA 94016"
284199,Gaming Mouse,1,100.0,07/15/19 09:34,"858 Washington St, New York City, NY 10001"
284200,Cooling Pad,1,29.99,07/17/19 21:03,"148 Jefferson St, Portland, OR 97035"
284201,Dell Laptop,1,999.99,07/21/19 06:55,"455 Madison St, San Francisco, CA 94016"
284202,Wired Headphones,1,11.99,07/13/19 00:31,"199 Lake St, Portland, OR 97035"
284203,Dell Laptop,1,999.99,07/26/19 20:08,"252 Hickory St, San Francisco, CA 94016"
284204,USB-C Charging Cable,1,11.95,07/01/19 12:10,"303 Park St, Boston, MA 02215"
284205,20in Monitor,1,109.99,07/02/19 13:15,"229 Dogwood St, New York City, NY 10001"
284206,Gaming Mouse,1,100.0,07/09/19 17:26,"438 Madison St, New York City, NY 10001"
284206,27in FHD Monitor,1,149.99,07/09/19 17:26,"438 Madison St, New York City, NY 10001"
284207,Apple Airpods Headphones,1,150.0,07/06/19 21:54,"89 13th St, San Francisco, CA 94016"
284208,USB-C Charging Cable,1,11.95,07/29/19 03:54,"753 Willow St, Boston, MA 02215"
284209,Normal Keyboard,1,99.99,07/07/19 14:11,"666 West St, Seattle, WA 98101"
284210,Wired Headphones,1,11.99,07/26/19 13:06,"517 Highland St, Seattle, WA 98101"
Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
284211,USB-C Charging Cable,1,11.95,07/17/19 12:13,"436 Pine St, Boston, MA 02215"
284212,Wired Headphones,1,11.99,07/05/19 00:10,"420 Wilson St, Austin, TX 73301"
284213,Apple Airpods Headphones,1,150,07/24/19 08:30,"913 Forest St, San Francisco, CA 94016"
284214,Apple Airpods Headphones,1,150,07/25/19 23:43,"780 Chestnut St, San Francisco, CA 94016"
284215,Lightning Charging Cable,2,14.95,07/18/19 21:55,"881 Elm St, Dallas, TX 75001"
284216,Apple Airpods Headphones,1,150,07/05/19 10:12,"157 Cedar St, Dallas, TX 75001"
284217,USB-C Charging Cable,1,11.95,07/04/19 20:00,"960 Jefferson St, New York City, NY 10001"
284218,34in Ultrawide Monitor,1,379.99,07/06/19 21:51,"302 West St, Seattle, WA 98101"
284219,Macbook Pro,1,1699,07/24/19 00:54,"235 Madison St, Portland, ME 04101"
284219,Normal Keyboard,1,99.99,07/24/19 00:54,"235 Madison St, Portland, ME 04101"
284220,Flatscreen TV,1,300,07/25/19 11:46,"192 Adams St, Los Angeles, CA 90001"
284221,27in FHD Monitor,1,149.99,07/03/19 10:45,"395 Hill St, Los Angeles, CA 90001"
