Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
270356,AA Batteries (4-pack),2,3.84,06/13/19 17:21,"37 Meadow St, Boston, MA 02215"
270357,Bose SoundSport Headphones,1,99.99,06/20/19 09:34,"62 Hickory St, New York City, NY 10001"
270358,Wired Headphones,1,11.99,06/14/19 10:50,"393 Chestnut St, San Francisco, CA 94016"
270359,USB-C Charging Cable,1,11.95,06/29/19 13:08,"435 Adams St, San Francisco, CA 94016"
270360,Bose SoundSport Headphones,1,99.99,06/12/19 13:01,"30 Cherry St, Portland, OR 97035"
270361,Wired Headphones,1,11.99,06/16/19 04:16,"236 Madison St, Portland, OR 97035"
270362,Lightning Charging Cable,1,14.95,06/23/19 12:52,"157 13th St, Dallas, TX 75001"
270363,Wired Headphones,1,11.99,06/06/19 18:21,"236 West St, Dallas, TX 75001"
270364,AAA Batteries (4-pack),1,2.99,06/19/19 19:55,"117 Jackson St, Austin, TX 73301"
270365,Lightning Charging Cable,1,14.95,06/17/19 16:09,"71 Jackson St, San Francisco, CA 94016"
270366,AA Batteries (4-pack),1,3.84,06/02/19 12:46,"860 2nd St, New York City, NY 10001"
270367,27in FHD Monitor,1,149.99,06/26/19 19:07,"210 Highland St, Los Angeles, CA 90001"
270368,Cooling Pad,1,29.99,06/19/19 17:28,"613 10th St, Portland, OR 97035"
270369,27in FHD Monitor,1,149.99,06/03/19 10:13,"792 Hill St, Portland, OR 97035"
270370,Lightning Charging Cable,1,14.95,06/21/19 20:50,"234 Dogwood St, Portland, OR 97035"
270371,Google Phone,1,600.0,06/05/19 23:38,"149 Elm St, San Francisco, CA 94016"
270372,AAA Batteries (4-pack),1,2.99,06/28/19 17:25,"820 Maple St, San Francisco, CA 94016"
270373,AA Batteries (4-pack),1,3.84,06/07/19 23:42,"613 West St, Los Angeles, CA 90001"
270374,AA Batteries (4-pack),1,3.84,06/23/19 20:18,"518 4th St, New York City, NY 10001"
270375,Lenovo Laptop,1,899.99,06/15/19 17:19,"699 Madison St, San Francisco, CA 94016"
270376,USB-C Charging Cable,1,11.95,06/19/19 09:50,"203 7th St, New York City, NY 10001"
270377,Wired Headphones,1,11.99,06/29/19 02:47,"765 14th St, New York City, NY 10001"
270378,Cooling Pad,1,29.99,06/02/19 19:32,"707 Jackson St, New York City, NY 10001"
270379,Samsung Phone,1,650.0,06/20/19 09:01,"412 Hickory St, Atlanta, GA 30301"
270380,Wired Headphones,1,11.99,06/04/19 20:16,"653 Maple St, San Francisco, CA 94016"
