Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
219812,AAA Batteries (4-pack),2,2.99,03/13/19 11:00,"845 Lake St, Seattle, WA 98101"
219813,Wired Headphones,1,11.99,03/24/19 07:48,"914 Hill St, Austin, TX 73301"
219814,Macbook Pro,1,1699.0,03/02/19 15:31,"590 Hickory St, Seattle, WA 98101"
219815,Cooling Pad,1,29.99,03/12/19 21:17,"766 11th St, Los Angeles, CA 90001"
219816,Mechanical Keyboard,1,250.0,03/16/19 20:19,"625 Madison St, San Francisco, CA 94016"
219817,USB-C Charging Cable,1,11.95,03/12/19 10:57,"298 Cherry St, San Francisco, CA 94016"
219818,Gaming Mouse,1,100.0,03/08/19 22:49,"196 Chestnut St, Atlanta, GA 30301"
219819,USB-C Charging Cable,1,11.95,03/16/19 13:40,"464 Lakeview St, Atlanta, GA 30301"
219820,USB-C Charging Cable,1,11.95,03/22/19 18:32,"569 14th St, San Francisco, CA 94016"
219821,USB-C Charging Cable,1,11.95,03/26/19 13:55,"66 Washington St, Dallas, TX 75001"
219822,AAA Batteries (4-pack),3,2.99,03/09/19 13:53,"365 Lincoln St, San Francisco, CA 94016"
219823,Dell Laptop,1,999.99,03/12/19 21:09,"915 8th St, San Francisco, CA 94016"
219824,Normal Keyboard,1,99.99,03/17/19 15:25,"857 13th St, Seattle, WA 98101"
219825,USB-C Charging Cable,1,11.95,03/25/19 10:37,"207 Adams St, Dallas, TX 75001"
219826,20in Monitor,1,109.99,03/23/19 20:37,"112 Jefferson St, New York City, NY 10001"
219827,Bose SoundSport Headphones,1,99.99,03/03/19 19:45,"551 West St, Boston, MA 02215"
219828,USB-C Charging Cable,1,11.95,03/22/19 10:48,"131 6th St, New York City, NY 10001"
219829,Apple Airpods Headphones,1,150.0,03/27/19 18:44,"915 Church St, Austin, TX 73301"
219830,Wired Headphones,1,11.99,03/05/19 19:05,"897 Hill St, Atlanta, GA 30301"
219831,Macbook Air,1,1200.0,03/09/19 11:34,"688 Hickory St, Atlanta, GA 30301"
219832,34in Ultrawide Monitor,1,379.99,03/01/19 10:55,"799 Hickory St, Austin, TX 73301"
219833,Lightning Charging Cable,1,14.95,03/03/19 09:21,"219 South St, San Francisco, CA 94016"
219834,27in 4K Gaming Monitor,1,389.99,03/27/19 11:47,"968 5th St, Boston, MA 02215"
