Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
251955,AAA Batteries (4-pack),1,2.99,05/29/19 10:39,"565 14th St, Boston, MA 02215"
251956,Bose SoundSport Headphones,1,99.99,05/13/19 19:59,"43 Dogwood St, San Francisco, CA 94016"
251957,AAA Batteries (4-pack),1,2.99,05/25/19 22:21,"496 1st St, Los Angeles, CA 90001"
251958,USB-C Charging Cable,1,11.95,05/08/19 02:47,"114 Pine St, Seattle, WA 98101"
251959,27in FHD Monitor,1,149.99,05/02/19 20:47,"623 Adams St, Dallas, TX 75001"
251960,USB-C Charging Cable,1,11.95,05/15/19 19:02,"71 Main St, Seattle, WA 98101"
251961,Apple Airpods Headphones,1,150.0,05/13/19 16:32,"758 Pine St, San Francisco, CA 94016"
251962,Mechanical Keyboard,1,250.0,05/06/19 20:34,"506 West St, Los Angeles, CA 90001"
251963,Bose SoundSport Headphones,1,99.99,05/21/19 22:04,"996 Adams St, Dallas, TX 75001"
251964,Wired Headphones,1,11.99,05/30/19 22:25,"261 Jackson St, Dallas, TX 75001"
251965,Apple Airpods Headphones,1,150.0,05/10/19 11:48,"758 Jefferson St, Boston, MA 02215"
251966,Macbook Air,1,1200.0,05/10/19 17:51,"298 Adams St, San Francisco, CA 94016"
251966,Normal Keyboard,1,99.99,05/10/19 17:51,"298 Adams St, San Francisco, CA 94016"
251967,Apple Airpods Headphones,1,150.0,05/15/19 00:46,"144 Park St, Atlanta, GA 30301"
251968,Normal Keyboard,1,99.99,05/05/19 11:22,"505 4th St, Atlanta, GA 30301"
251969,Apple Airpods Headphones,2,150.0,05/27/19 18:52,"344 12th St, Seattle, WA 98101"
251970,USB-C Charging Cable,1,11.95,05/07/19 10:15,"168 Walnut St, San Francisco, CA 94016"
251971,Lightning Charging Cable,1,14.95,05/01/19 04:51,"855 9th St, Boston, MA 02215"
251972,USB-C Charging Cable,1,11.95,05/17/19 09:42,"386 2nd St, Austin, TX 73301"
251973,iPhone,1,700.0,05/17/19 12:44,"531 Walnut St, San Francisco, CA 94016"
251973,Lightning Charging Cable,1,14.95,05/17/19 12:44,"531 Walnut St, San Francisco, CA 94016"
251974,Mechanical Keyboard,1,250.0,05/20/19 20:35,"777 Spruce St, Boston, MA 02215"
251975,27in 4K Gaming Monitor,1,389.99,05/26/19 18:40,"973 4th St, Los Angeles, CA 90001"
251976,Gaming Mouse,1,100.0,05/04/19 21:40,"842 Elm St, Portland, OR 97035"
251977,USB-C Charging Cable,1,11.95,05/22/19 10:46,"623 12th St, New York City, NY 10001"
251978,iPhone,1,700.0,05/24/19 09:20,"926 Elm St, New York City, NY 10001"
251979,Macbook Pro,1,1699.0,05/28/19 13:50,"205 Jackson St, Los Angeles, CA 90001"
251980,Lightning Charging Cable,1,14.95,05/29/19 21:51,"859 Center St, San Francisco, CA 94016"
251981,Google Phone,1,600.0,05/12/19 21:05,"420 Lakeview St, New York City, NY 10001"
251982,Mechanical Keyboard,1,250.0,05/01/19 11:59,"884 1st St, New York City, NY 10001"
251983,Apple Airpods Headphones,1,150.0,05/14/19 13:19,"202 Meadow St, San Francisco, CA 94016"
251984,Gaming Mouse,1,100.0,05/21/19 15:49,"42 Lakeview St, San Francisco, CA 94016"
251985,Bose SoundSport Headphones,1,99.99,05/30/19 12:52,"19 Hill St, Los Angeles, CA 90001"
251986,Wired Headphones,1,11.99,05/10/19 19:01,"812 Lake St, San Francisco, CA 94016"
251987,Gaming Mouse,1,100.0,05/31/19 16:10,"345 Wilson St, San Francisco, CA 94016"
251988,AA Batteries (4-pack),1,3.84,05/04/19 21:03,"647 Main St, Seattle, WA 98101"
251989,AA Batteries (4-pack),1,3.84,05/10/19 11:07,"189 Chestnut St, San Francisco, CA 94016"
251990,Wired Headphones,1,11.99,05/20/19 16:37,"199 Walnut St, Los Angeles, CA 90001"
251991,Gaming Mouse,1,100.0,05/16/19 20:36,"703 Cedar St, Seattle, WA 98101"
251992,Macbook Air,1,1200.0,05/04/19 16:51,"497 Elm St, Atlanta, GA 30301"
251993,Mechanical Keyboard,1,250.0,05/17/19 20:31,"168 Main St, Austin, TX 73301"
251994,Apple Airpods Headphones,1,150.0,05/03/19 08:19,"780 Jefferson St, Atlanta, GA 30301"
251995,iPhone,1,700.0,05/03/19 09:35,"305 Ridge St, Los Angeles, CA 90001"
251996,Wired Headphones,1,11.99,05/07/19 12:09,"827 Wilson St, Los Angeles, CA 90001"
251997,Apple Airpods Headphones,1,150.0,05/02/19 08:36,"668 8th St, New York City, NY 10001"
251998,Bose SoundSport Headphones,1,99.99,05/13/19 15:38,"444 West St, San Francisco, CA 94016"
251999,Flatscreen TV,1,300.0,05/30/19 18:27,"456 13th St, New York City, NY 10001"
252000,Apple Airpods Headphones,1,150.0,05/09/19 21:21,"746 6th St, Portland, OR 97035"
252001,Wired Headphones,1,11.99,05/06/19 22:05,"798 10th St, Boston, MA 02215"
252002,Lightning Charging Cable,1,14.95,05/01/19 23:21,"794 9th St, Seattle, WA 98101"
