Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
332008,AAA Batteries (4-pack),2,2.99,11/29/19 15:45,"472 North St, Seattle, WA 98101"
332009,AAA Batteries (4-pack),1,2.99,11/18/19 14:34,"186 Park St, Los Angeles, CA 90001"
332010,Bose SoundSport Headphones,1,99.99,11/23/19 18:15,"638 Hickory St, Dallas, TX 75001"
332011,34in Ultrawide Monitor,1,379.99,11/14/19 11:25,"557 Highland St, San Francisco, CA 94016"
332012,Apple Airpods Headphones,1,150.0,11/14/19 14:53,"391 Lakeview St, Boston, MA 02215"
332013,Gaming Mouse,1,100.0,11/03/19 15:09,"43 Park St, San Francisco, CA 94016"
332014,Cooling Pad,1,29.99,11/29/19 04:06,"474 Madison St, Portland, OR 97035"
332015,USB-C Charging Cable,1,11.95,11/24/19 09:36,"470 Jackson St, New York City, NY 10001"
332016,AAA Batteries (4-pack),1,2.99,11/10/19 11:31,"410 Walnut St, Los Angeles, CA 90001"
332017,Cooling Pad,1,29.99,11/19/19 13:30,"993 Elm St, San Francisco, CA 94016"
332018,USB-C Charging Cable,1,11.95,11/28/19 12:32,"789 6th St, San Francisco, CA 94016"
332019,Lightning Charging Cable,1,14.95,11/11/19 14:09,"228 2nd St, Dallas, TX 75001"
332020,Google Phone,1,600.0,11/06/19 14:44,"573 9th St, Austin, TX 73301"
332021,AAA Batteries (4-pack),1,2.99,11/29/19 21:47,"477 Forest St, Portland, OR 97035"
332022,Apple Airpods Headphones,1,150.0,11/22/19 13:02,"696 Church St, Seattle, WA 98101"
332023,Bose SoundSport Headphones,1,99.99,11/11/19 14:05,"64 Maple St, Los Angeles, CA 90001"
332024,Normal Keyboard,1,99.99,11/23/19 11:38,"251 Jackson St, Dallas, TX 75001"
332025,AA Batteries (4-pack),1,3.84,11/16/19 17:30,"198 12th St, Boston, MA 02215"
332026,Wired Headphones,1,11.99,11/26/19 18:21,"971 River St, Portland, OR 97035"
332027,Lightning Charging Cable,1,14.95,11/13/19 21:38,"852 10th St, Los Angeles, CA 90001"
332028,Wired Headphones,1,11.99,11/15/19 10:05,"994 Meadow St, San Francisco, CA 94016"
332029,Bose SoundSport Headphones,1,99.99,11/19/19 14:28,"527 Center St, Seattle, WA 98101"
332030,Apple Airpods Headphones,1,150.0,11/15/19 17:23,"619 Lakeview St, Los Angeles, CA 90001"
332031,Macbook Air,1,1200.0,11/10/19 13:42,"82 Lincoln St, New York City, NY 10001"
332032,Macbook Pro,1,1699.0,11/21/19 15:52,"473 Johnson St, Portland, OR 97035"
332033,Macbook Pro,1,1699.0,11/06/19 13:58,"905 Main St, San Francisco, CA 94016"
332034,Lightning Charging Cable,1,14.95,11/02/19 17:52,"718 11th St, Boston, MA 02215"
332035,Wired Headphones,1,11.99,11/13/19 19:44,"138 Johnson St, Atlanta, GA 30301"
332036,AA Batteries (4-pack),1,3.84,11/21/19 04:46,"784 North St, New York City, NY 10001"
332037,USB-C Charging Cable,1,11.95,11/04/19 09:38,"260 Lakeview St, Boston, MA 02215"
332038,Dell Laptop,1,999.99,11/07/19 17:17,"293 Meadow St, Seattle, WA 98101"
332039,LG Dryer,1,600.0,11/11/19 11:50,"275 Meadow St, Atlanta, GA 30301"
332040,USB-C Charging Cable,1,11.95,11/26/19 14:53,"429 Cedar St, San Francisco, CA 94016"
332041,AA Batteries (4-pack),2,3.84,11/15/19 19:32,"552 Jackson St, Dallas, TX 75001"
332042,AAA Batteries (4-pack),1,2.99,11/24/19 10:45,"64 Chestnut St, Los Angeles, CA 90001"
332042,Lightning Charging Cable,1,14.95,11/24/19 10:45,"64 Chestnut St, Los Angeles, CA 90001"
332043,Samsung Phone,1,650.0,11/29/19 10:42,"402 Pine St, New York City, NY 10001"
332044,Lightning Charging Cable,1,14.95,11/05/19 14:32,"111 Hill St, San Francisco, CA 94016"
332045,AA Batteries (4-pack),3,3.84,11/10/19 00:41,"62 Forest St, San Francisco, CA 94016"
332046,AA Batteries (4-pack),1,3.84,11/12/19 10:34,"294 2nd St, San Francisco, CA 94016"
332047,27in 4K Gaming Monitor,1,389.99,11/08/19 12:59,"331 Hill St, Seattle, WA 98101"
332047,Mechanical Keyboard,1,250.0,11/08/19 12:59,"331 Hill St, Seattle, WA 98101"
332048,Mechanical Keyboard,1,250.0,11/11/19 13:55,"610 South St, Portland, OR 97035"
332049,Bose SoundSport Headphones,1,99.99,11/08/19 13:08,"940 1st St, New York City, NY 10001"
332050,34in Ultrawide Monitor,1,379.99,11/12/19 11:34,"782 Church St, Atlanta, GA 30301"
332051,Gaming Mouse,1,100.0,11/06/19 17:20,"768 11th St, New York City, NY 10001"
