Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
324946,AA Batteries (4-pack),2,3.84,10/30/19 18:57,"106 7th St, San Francisco, CA 94016"
324947,Wired Headphones,1,11.99,10/04/19 15:11,"73 Wilson St, Seattle, WA 98101"
324948,Apple Airpods Headphones,1,150.0,10/13/19 15:07,"212 Maple St, Seattle, WA 98101"
324949,Apple Airpods Headphones,1,150.0,10/06/19 10:26,"393 1st St, San Francisco, CA 94016"
324950,Normal Keyboard,1,99.99,10/29/19 19:03,"864 Madison St, Los Angeles, CA 90001"
324951,Bose SoundSport Headphones,1,99.99,10/19/19 13:04,"686 4th St, New York City, NY 10001"
324952,Lightning Charging Cable,1,14.95,10/02/19 13:05,"393 12th St, New York City, NY 10001"
324952,27in FHD Monitor,1,149.99,10/02/19 13:05,"393 12th St, New York City, NY 10001"
324953,Lightning Charging Cable,1,14.95,10/28/19 12:14,"230 Hickory St, San Francisco, CA 94016"
324954,Cooling Pad,1,29.99,10/08/19 15:27,"4 14th St, Seattle, WA 98101"
324955,Wired Headphones,1,11.99,10/11/19 08:14,"886 North St, Atlanta, GA 30301"
324956,Apple Airpods Headphones,1,150.0,10/28/19 22:41,"145 9th St, Austin, TX 73301"
324957,Lightning Charging Cable,1,14.95,10/11/19 00:01,"579 River St, Dallas, TX 75001"
324958,iPhone,1,700.0,10/05/19 22:19,"129 2nd St, Boston, MA 02215"
324958,Lightning Charging Cable,1,14.95,10/05/19 22:19,"129 2nd St, Boston, MA 02215"
324958,Apple Airpods Headphones,1,150.0,10/05/19 22:19,"129 2nd St, Boston, MA 02215"
324959,Samsung Phone,1,650.0,10/19/19 10:16,"78 Wilson St, Los Angeles, CA 90001"
324960,USB-C Charging Cable,1,11.95,10/12/19 13:39,"828 Jackson St, Boston, MA 02215"
324961,Normal Keyboard,1,99.99,10/08/19 19:41,"923 Center St, Atlanta, GA 30301"
324962,Macbook Pro,1,1699.0,10/23/19 14:00,"73 Sunset St, Austin, TX 73301"
324963,USB-C Charging Cable,1,11.95,10/01/19 19:40,"642 Dogwood St, New York City, NY 10001"
324964,AA Batteries (4-pack),1,3.84,10/20/19 00:12,"623 7th St, San Francisco, CA 94016"
324965,USB-C Charging Cable,1,11.95,10/17/19 20:54,"351 Dogwood St, New York City, NY 10001"
324966,Apple Airpods Headphones,1,150.0,10/11/19 13:12,"828 Maple St, San Francisco, CA 94016"
324967,Lightning Charging Cable,1,14.95,10/04/19 15:19,"648 River St, Atlanta, GA 30301"
324968,USB-C Charging Cable,1,11.95,10/14/19 11:16,"829 Jackson St, Dallas, TX 75001"
324969,iPhone,1,700.0,10/28/19 21:13,"710 Lake St, Los Angeles, CA 90001"
324970,Normal Keyboard,1,99.99,10/16/19 13:09,"860 Chestnut St, Portland, OR 97035"
324971,Wired Headphones,1,11.99,10/19/19 17:21,"506 Ridge St, Dallas, TX 75001"
324972,AA Batteries (4-pack),2,3.84,10/16/19 08:39,"166 6th St, New York City, NY 10001"
324973,Lightning Charging Cable,1,14.95,10/23/19 18:16,"82 Wilson St, Los Angeles, CA 90001"
324974,AAA Batteries (4-pack),1,2.99,10/21/19 19:57,"341 Washington St, Seattle, WA 98101"
324975,34in Ultrawide Monitor,1,379.99,10/03/19 15:23,"630 8th St, Austin, TX 73301"
324976,Bose SoundSport Headphones,1,99.99,10/13/19 08:33,"805 9th St, Los Angeles, CA 90001"
324977,Normal Keyboard,1,99.99,10/08/19 19:22,"844 14th St, Seattle, WA 98101"
324978,Bose SoundSport Headphones,1,99.99,10/24/19 16:13,"123 Pine St, Los Angeles, CA 90001"
324979,Apple Airpods Headphones,1,150.0,10/02/19 17:41,"96 1st St, Los Angeles, CA 90001"
324980,Apple Airpods Headphones,1,150.0,10/18/19 18:11,"172 Walnut St, San Francisco, CA 94016"
324981,USB-C Charging Cable,1,11.95,10/15/19 13:57,"953 Highland St, New York City, NY 10001"
324982,Apple Airpods Headphones,1,150.0,10/20/19 09:28,"161 Hickory St, Dallas, TX 75001"
324983,Samsung Phone,1,650.0,10/03/19 19:00,"531 Forest St, Seattle, WA 98101"
324984,Lightning Charging Cable,1,14.95,10/20/19 14:56,"210 Lake St, New York City, NY 10001"
324985,iPhone,1,700.0,10/05/19 11:29,"1 Main St, New York City, NY 10001"
324986,AA Batteries (4-pack),1,3.84,10/25/19 18:57,"206 4th St, New York City, NY 10001"
324987,Lightning Charging Cable,1,14.95,10/23/19 19:57,"388 South St, Los Angeles, CA 90001"
324988,27in FHD Monitor,1,149.99,10/15/19 19:01,"136 6th St, Los Angeles, CA 90001"
324989,Lightning Charging Cable,2,14.95,10/07/19 12:08,"924 Cedar St, San Francisco, CA 94016"
324990,Cooling Pad,1,29.99,10/26/19 00:49,"417 Meadow St, New York City, NY 10001"
324991,AA Batteries (4-pack),1,3.84,10/30/19 19:26,"35 Sunset St, New York City, NY 10001"
324992,20in Monitor,1,109.99,10/20/19 10:07,"479 2nd St, Portland, ME 04101"
324993,Wired Headphones,1,11.99,10/10/19 11:49,"715 6th St, Atlanta, GA 30301"
324994,Lightning Charging Cable,1,14.95,10/15/19 09:25,"69 Main St, San Francisco, CA 94016"
324995,27in 4K Gaming Monitor,1,389.99,10/21/19 15:37,"948 9th St, Los Angeles, CA 90001"
324996,AA Batteries (4-pack),1,3.84,10/29/19 08:06,"433 Madison St, Boston, MA 02215"
324997,Cooling Pad,1,29.99,10/03/19 09:35,"50 10th St, Portland, OR 97035"
324998,USB-C Charging Cable,2,11.95,10/10/19 15:34,"896 South St, Atlanta, GA 30301"
324999,Gaming Mouse,1,100.0,10/24/19 07:31,"48 12th St, Seattle, WA 98101"
325000,AAA Batteries (4-pack),2,2.99,10/25/19 11:35,"209 Lakeview St, San Francisco, CA 94016"
325001,Flatscreen TV,1,300.0,10/07/19 12:45,"252 10th St, Dallas, TX 75001"
325002,Macbook Air,1,1200.0,10/05/19 17:11,"434 Ridge St, Dallas, TX 75001"
325003,AA Batteries (4-pack),2,3.84,10/22/19 22:14,"853 Adams St, San Francisco, CA 94016"
325004,Wired Headphones,1,11.99,10/19/19 22:55,"894 Forest St, San Francisco, CA 94016"
325005,Wired Headphones,1,11.99,10/12/19 22:29,"802 Pine St, Austin, TX 73301"
325006,Gaming Mouse,1,100.0,10/13/19 16:44,"415 Walnut St, New York City, NY 10001"
325007,iPhone,1,700.0,10/01/19 07:00,"283 Lakeview St, Portland, OR 97035"
325008,Bose SoundSport Headphones,1,99.99,10/27/19 10:09,"972 13th St, Dallas, TX 75001"
325009,USB-C Charging Cable,2,11.95,10/09/19 11:42,"934 Lake St, Portland, OR 97035"
325010,Gaming Mouse,1,100.0,10/20/19 22:02,"628 Lake St, San Francisco, CA 94016"
325011,Normal Keyboard,1,99.99,10/03/19 18:57,"825 South St, Atlanta, GA 30301"
325012,Bose SoundSport Headphones,1,99.99,10/02/19 12:53,"472 9th St, Austin, TX 73301"
325013,AAA Batteries (4-pack),1,2.99,10/21/19 21:36,"259 Wilson St, San Francisco, CA 94016"
325014,Bose SoundSport Headphones,1,99.99,10/06/19 14:36,"637 Forest St, San Francisco, CA 94016"
325015,Bose SoundSport Headphones,1,99.99,10/09/19 19:32,"843 River St, Seattle, WA 98101"
325016,AAA Batteries (4-pack),2,2.99,10/22/19 17:42,"303 Pine St, Atlanta, GA 30301"
325017,Bose SoundSport Headphones,1,99.99,10/09/19 18:47,"980 Church St, Atlanta, GA 30301"
325018,Macbook Air,1,1200.0,10/02/19 12:14,"468 North St, Los Angeles, CA 90001"
325019,Apple Airpods Headphones,1,150.0,10/16/19 20:10,"857 Cedar St, Dallas, TX 75001"
325020,AA Batteries (4-pack),1,3.84,10/25/19 20:30,"321 Elm St, San Francisco, CA 94016"
325021,AAA Batteries (4-pack),1,2.99,10/05/19 12:14,"513 10th St, Seattle, WA 98101"
325022,Normal Keyboard,1,99.99,10/18/19 22:49,"316 Lakeview St, San Francisco, CA 94016"
325023,Bose SoundSport Headphones,1,99.99,10/25/19 12:46,"198 Washington St, Los Angeles, CA 90001"
325024,Lightning Charging Cable,1,14.95,10/06/19 20:21,"646 Ridge St, Dallas, TX 75001"
325025,27in 4K Gaming Monitor,1,389.99,10/31/19 20:53,"493 Madison St, Austin, TX 73301"
325025,Mechanical Keyboard,1,250.0,10/31/19 20:53,"493 Madison St, Austin, TX 73301"
325026,AAA Batteries (4-pack),1,2.99,10/15/19 11:17,"800 Maple St, San Francisco, CA 94016"
325027,Wired Headphones,1,11.99,10/22/19 21:43,"533 River St, Austin, TX 73301"
325028,Cooling Pad,1,29.99,10/23/19 11:36,"35 Cherry St, Los Angeles, CA 90001"
325029,Apple Airpods Headphones,1,150.0,10/23/19 15:20,"278 Highland St, Los Angeles, CA 90001"
325030,AA Batteries (4-pack),3,3.84,10/07/19 20:34,"56 2nd St, New York City, NY 10001"
325031,27in FHD Monitor,1,149.99,10/10/19 12:28,"845 Wilson St, Los Angeles, CA 90001"
325032,AAA Batteries (4-pack),1,2.99,10/25/19 12:36,"196 Willow St, Boston, MA 02215"
325033,Lightning Charging Cable,1,14.95,10/13/19 21:24,"508 North St, Los Angeles, CA 90001"
325034,Wired Headphones,1,11.99,10/17/19 21:58,"864 1st St, San Francisco, CA 94016"
325035,Wired Headphones,1,11.99,10/22/19 19:22,"426 4th St, Boston, MA 02215"
325036,27in 4K Gaming Monitor,1,389.99,10/16/19 04:58,"401 Maple St, San Francisco, CA 94016"
325036,Gaming Mouse,1,100.0,10/16/19 04:58,"401 Maple St, San Francisco, CA 94016"
325037,Mechanical Keyboard,1,250.0,10/01/19 18:30,"245 Elm St, New York City, NY 10001"
325038,Macbook Pro,1,1699.0,10/19/19 20:06,"935 Pine St, San Francisco, CA 94016"
325039,Apple Airpods Headphones,1,150.0,10/03/19 17:50,"122 Pine St, Seattle, WA 98101"
325040,Bose SoundSport Headphones,1,99.99,10/15/19 20:17,"174 Highland St, Austin, TX 73301"
325041,Flatscreen TV,1,300.0,10/28/19 11:55,"66 5th St, San Francisco, CA 94016"
325042,AAA Batteries (4-pack),1,2.99,10/24/19 10:57,"316 13th St, Seattle, WA 98101"
325043,Flatscreen TV,1,300.0,10/27/19 20:02,"209 Madison St, Los Angeles, CA 90001"
325044,Normal Keyboard,1,99.99,10/06/19 23:42,"512 Johnson St, Seattle, WA 98101"
325045,AA Batteries (4-pack),1,3.84,10/07/19 05:45,"252 Dogwood St, Los Angeles, CA 90001"
325046,AAA Batteries (4-pack),1,2.99,10/14/19 12:15,"199 Church St, Los Angeles, CA 90001"
325047,iPhone,1,700.0,10/19/19 14:45,"216 Lincoln St, New York City, NY 10001"
325048,Lightning Charging Cable,1,14.95,10/16/19 17:50,"693 11th St, Atlanta, GA 30301"
325049,34in Ultrawide Monitor,1,379.99,10/13/19 11:48,"93 Chestnut St, New York City, NY 10001"
325049,Mechanical Keyboard,1,250.0,10/13/19 11:48,"93 Chestnut St, New York City, NY 10001"
325050,AA Batteries (4-pack),2,3.84,10/16/19 06:39,"874 7th St, New York City, NY 10001"
325051,Cooling Pad,1,29.99,10/28/19 14:38,"390 Sunset St, Seattle, WA 98101"
325052,Flatscreen TV,1,300.0,10/16/19 22:54,"246 Madison St, Boston, MA 02215"
325053,Bose SoundSport Headphones,1,99.99,10/28/19 20:48,"955 River St, Dallas, TX 75001"
325054,AA Batteries (4-pack),3,3.84,10/15/19 15:07,"328 Highland St, San Francisco, CA 94016"
325054,Samsung Phone,1,650.0,10/15/19 15:07,"328 Highland St, San Francisco, CA 94016"
325055,AA Batteries (4-pack),1,3.84,10/19/19 19:59,"202 Dogwood St, Los Angeles, CA 90001"
325056,USB-C Charging Cable,1,11.95,10/20/19 10:21,"83 Lincoln St, San Francisco, CA 94016"
325057,Mechanical Keyboard,1,250.0,10/28/19 18:23,"615 13th St, New York City, NY 10001"
325058,Normal Keyboard,1,99.99,10/22/19 21:58,"165 Ridge St, Austin, TX 73301"
325059,Bose SoundSport Headphones,1,99.99,10/08/19 15:16,"748 Hill St, Los Angeles, CA 90001"
325060,Wired Headphones,1,11.99,10/08/19 12:59,"969 Jefferson St, Austin, TX 73301"
325061,Gaming Mouse,1,100.0,10/29/19 19:06,"907 Hickory St, San Francisco, CA 94016"
325062,USB-C Charging Cable,2,11.95,10/28/19 16:53,"147 12th St, San Francisco, CA 94016"
325063,Lightning Charging Cable,1,14.95,10/04/19 11:18,"244 Highland St, Portland, OR 97035"
325064,Apple Airpods Headphones,1,150.0,10/15/19 07:25,"537 Cedar St, San Francisco, CA 94016"
325065,iPhone,1,700.0,10/31/19 22:35,"686 10th St, San Francisco, CA 94016"
325065,Lightning Charging Cable,1,14.95,10/31/19 22:35,"686 10th St, San Francisco, CA 94016"
325066,USB-C Charging Cable,1,11.95,10/01/19 18:09,"596 Elm St, Los Angeles, CA 90001"
325067,AA Batteries (4-pack),1,3.84,10/29/19 12:27,"184 Park St, New York City, NY 10001"
325068,AA Batteries (4-pack),1,3.84,10/29/19 07:40,"74 13th St, Atlanta, GA 30301"
325069,27in FHD Monitor,1,149.99,10/05/19 08:46,"597 Ridge St, San Francisco, CA 94016"
325070,Normal Keyboard,1,99.99,10/15/19 01:52,"837 Wilson St, New York City, NY 10001"
325071,34in Ultrawide Monitor,1,379.99,10/17/19 08:32,"661 Jefferson St, San Francisco, CA 94016"
325072,Bose SoundSport Headphones,1,99.99,10/31/19 21:59,"721 Ridge St, Atlanta, GA 30301"
325073,Cooling Pad,1,29.99,10/21/19 21:27,"591 Adams St, San Francisco, CA 94016"
325074,Wired Headphones,1,11.99,10/13/19 18:13,"445 14th St, San Francisco, CA 94016"
325075,20in Monitor,1,109.99,10/29/19 13:58,"381 Willow St, New York City, NY 10001"
325076,Bose SoundSport Headphones,1,99.99,10/15/19 14:33,"983 Elm St, Seattle, WA 98101"
325077,Samsung Phone,1,650.0,10/04/19 18:22,"186 6th St, Dallas, TX 75001"
325078,Wired Headphones,3,11.99,10/06/19 19:51,"541 Cherry St, Seattle, WA 98101"
325079,Lightning Charging Cable,1,14.95,10/08/19 14:58,"497 Meadow St, San Francisco, CA 94016"
325080,Lenovo Laptop,1,899.99,10/30/19 00:01,"15 Lakeview St, Austin, TX 73301"
325081,USB-C Charging Cable,1,11.95,10/07/19 11:43,"533 Dogwood St, New York City, NY 10001"
325082,Normal Keyboard,1,99.99,10/07/19 09:55,"513 Ridge St, Seattle, WA 98101"
325083,Cooling Pad,1,29.99,10/03/19 15:24,"111 Maple St, Portland, OR 97035"
325084,AA Batteries (4-pack),1,3.84,10/27/19 23:28,"933 Lake St, Seattle, WA 98101"
325085,Google Phone,1,600.0,10/31/19 10:53,"121 Spruce St, Los Angeles, CA 90001"
325085,USB-C Charging Cable,1,11.95,10/31/19 10:53,"121 Spruce St, Los Angeles, CA 90001"
325086,Bose SoundSport Headphones,1,99.99,10/30/19 21:12,"15 Walnut St, Los Angeles, CA 90001"
325087,iPhone,1,700.0,10/10/19 14:05,"46 Johnson St, Atlanta, GA 30301"
325087,Apple Airpods Headphones,1,150.0,10/10/19 14:05,"46 Johnson St, Atlanta, GA 30301"
325088,USB-C Charging Cable,1,11.95,10/28/19 10:50,"718 Jefferson St, Austin, TX 73301"
325089,Apple Airpods Headphones,1,150.0,10/31/19 15:44,"676 Hill St, Los Angeles, CA 90001"
