Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
311113,Cooling Pad,1,29.99,09/20/19 12:41,"409 Adams St, Atlanta, GA 30301"
311114,USB-C Charging Cable,1,11.95,09/11/19 19:33,"116 1st St, Austin, TX 73301"
311115,Samsung Phone,1,650.0,09/23/19 13:29,"756 1st St, New York City, NY 10001"
311115,Bose SoundSport Headphones,1,99.99,09/23/19 13:29,"756 1st St, New York City, NY 10001"
311115,Wired Headphones,1,11.99,09/23/19 13:29,"756 1st St, New York City, NY 10001"
311116,USB-C Charging Cable,2,11.95,09/03/19 16:25,"398 Willow St, San Francisco, CA 94016"
311117,27in FHD Monitor,1,149.99,09/08/19 19:36,"352 11th St, Boston, MA 02215"
311118,27in FHD Monitor,1,149.99,09/25/19 20:20,"832 Cherry St, Dallas, TX 75001"
311119,USB-C Charging Cable,1,11.95,09/11/19 19:11,"9 Elm St, Los Angeles, CA 90001"
311120,Gaming Mouse,1,100.0,09/04/19 19:35,"259 Adams St, Los Angeles, CA 90001"
311121,Apple Airpods Headphones,1,150.0,09/02/19 18:42,"109 12th St, San Francisco, CA 94016"
311122,USB-C Charging Cable,1,11.95,09/27/19 21:11,"305 Maple St, New York City, NY 10001"
311123,Bose SoundSport Headphones,1,99.99,09/01/19 06:06,"697 River St, Los Angeles, CA 90001"
311124,Apple Airpods Headphones,1,150.0,09/29/19 10:36,"549 Center St, Los Angeles, CA 90001"
311125,AA Batteries (4-pack),3,3.84,09/13/19 08:19,"377 Ridge St, Portland, OR 97035"
311126,Mechanical Keyboard,1,250.0,09/24/19 00:38,"542 River St, Portland, OR 97035"
311127,Google Phone,1,600.0,09/19/19 12:03,"838 4th St, Los Angeles, CA 90001"
311128,Wired Headphones,1,11.99,09/10/19 11:03,"1 Chestnut St, New York City, NY 10001"
311129,USB-C Charging Cable,1,11.95,09/21/19 23:26,"133 West St, New York City, NY 10001"
311130,AA Batteries (4-pack),1,3.84,09/24/19 18:19,"346 Lakeview St, Austin, TX 73301"
311131,Dell Laptop,1,999.99,09/07/19 08:27,"917 7th St, Seattle, WA 98101"
